nuclide,atoms_initial,atoms_final,delta_atoms
Au185,0.0,0.0,0.0
Au186,0.0,0.0,0.0
Au187,0.0,0.0,0.0
Au187_m1,0.0,0.0,0.0
Au188,0.0,0.0,0.0
Au189,0.0,0.0,0.0
Au189_m1,0.0,0.0,0.0
Au190,0.0,0.0,0.0
Au190_m1,0.0,0.0,0.0
Au191,0.0,0.0,0.0
Au191_m1,0.0,0.0,0.0
Au192,0.0,0.0,0.0
Au192_m1,0.0,0.0,0.0
Au192_m2,0.0,0.0,0.0
Au193,0.0,0.0,0.0
Au193_m1,0.0,0.0,0.0
Au194,0.0,0.0,0.0
Au194_m1,0.0,0.0,0.0
Au194_m2,0.0,0.0,0.0
Au195,0.0,0.0,0.0
Au195_m1,0.0,0.0,0.0
Au196,0.0,0.0,0.0
Au196_m1,0.0,0.0,0.0
Au196_m2,0.0,0.0,0.0
Au197,0.0,0.0,0.0
Au197_m1,0.0,0.0,0.0
Au198,0.0,0.0,0.0
Au198_m1,0.0,0.0,0.0
Au199,0.0,0.0,0.0
Au200,0.0,0.0,0.0
Au200_m1,0.0,0.0,0.0
Au201,0.0,0.0,0.0
Au202,0.0,0.0,0.0
Au203,0.0,0.0,0.0
Au204,0.0,0.0,0.0
Au205,0.0,0.0,0.0
B10,0.0,0.0,0.0
B11,0.0,0.0,0.0
B12,0.0,0.0,0.0
B13,0.0,0.0,0.0
B14,0.0,0.0,0.0
B15,0.0,0.0,0.0
B16,0.0,0.0,0.0
B17,0.0,0.0,0.0
B18,0.0,0.0,0.0
B19,0.0,0.0,0.0
B6,0.0,0.0,0.0
B7,0.0,0.0,0.0
B8,0.0,0.0008708244992248612,0.0008708244992248612
B9,0.0,0.0,0.0
Ba114,0.0,0.0,0.0
Ba115,0.0,0.0,0.0
Ba116,0.0,0.0,0.0
Ba117,0.0,0.0,0.0
Ba118,0.0,0.0,0.0
Ba119,0.0,0.0,0.0
Ba120,0.0,0.0,0.0
Ba121,0.0,0.0,0.0
Ba122,0.0,0.0,0.0
Ba123,0.0,0.0,0.0
Ba124,0.0,0.0,0.0
Ba125,0.0,0.0,0.0
Ba126,0.0,0.0,0.0
Ba127,0.0,0.0,0.0
Ba127_m1,0.0,0.0,0.0
Ba128,0.0,0.0,0.0
Ba129,0.0,0.0,0.0
Ba129_m1,0.0,0.0,0.0
Ba130,0.0,0.0,0.0
Ba130_m1,0.0,0.0,0.0
Ba131,0.0,0.0,0.0
Ba131_m1,0.0,0.0,0.0
Ba132,0.0,0.0,0.0
Ba133,0.0,0.0,0.0
Ba133_m1,0.0,0.0,0.0
Ba134,0.0,0.0,0.0
Ba135,0.0,5932661249304325.0,5932661249304325.0
Ba135_m1,0.0,0.0,0.0
Ba136,0.0,0.0,0.0
Ba136_m1,0.0,0.0,0.0
Ba137,0.0,3.014610414163912e+20,3.014610414163912e+20
Ba137_m1,0.0,1976839603475106.0,1976839603475106.0
Ba138,1.979468e+22,1.979468e+22,0.0
Ba139,0.0,0.0,0.0
Ba140,0.0,0.0,0.0
Ba141,0.0,0.0,0.0
Ba142,0.0,0.0,0.0
Ba143,0.0,0.0,0.0
Ba144,0.0,0.0,0.0
Ba145,0.0,0.0,0.0
Ba146,0.0,0.0,0.0
Ba147,0.0,0.0,0.0
Ba148,0.0,0.0,0.0
Ba149,0.0,0.0,0.0
Ba150,0.0,0.0,0.0
Ba151,0.0,0.0,0.0
Ba152,0.0,0.0,0.0
Ba153,0.0,0.0,0.0
Be10,0.0,0.0,0.0
Be11,0.0,0.0,0.0
Be12,0.0,0.0,0.0
Be13,0.0,0.0,0.0
Be14,0.0,0.0,0.0
Be15,0.0,0.0,0.0
Be16,0.0,0.0,0.0
Be5,0.0,0.0,0.0
Be6,0.0,0.0,0.0
Be7,0.0,0.0,0.0
Be8,0.0,0.0,0.0
Be9,0.0,0.0,0.0
Bh260,0.0,0.0,0.0
Bh261,0.0,0.0,0.0
Bh262,0.0,0.0,0.0
Bh262_m1,0.0,0.0,0.0
Bh263,0.0,0.0,0.0
Bh264,0.0,0.0,0.0
Bh265,0.0,0.0,0.0
Bh266,0.0,0.0,0.0
Bh267,0.0,0.0,0.0
Bh269,0.0,0.0,0.0
Bi184,0.0,0.0,0.0
Bi184_m1,0.0,0.0,0.0
Bi185,0.0,0.0,0.0
Bi186,0.0,0.0,0.0
Bi186_m1,0.0,0.0,0.0
Bi187,0.0,0.0,0.0
Bi187_m1,0.0,0.0,0.0
Bi188,0.0,0.0,0.0
Bi188_m1,0.0,0.0,0.0
Bi189,0.0,0.0,0.0
Bi189_m1,0.0,0.0,0.0
Bi190,0.0,0.0,0.0
Bi190_m1,0.0,0.0,0.0
Bi191,0.0,0.0,0.0
Bi191_m1,0.0,0.0,0.0
Bi192,0.0,0.0,0.0
Bi192_m1,0.0,0.0,0.0
Bi193,0.0,0.0,0.0
Bi193_m1,0.0,0.0,0.0
Bi194,0.0,0.0,0.0
Bi194_m1,0.0,0.0,0.0
Bi194_m2,0.0,0.0,0.0
Bi195,0.0,0.0,0.0
Bi195_m1,0.0,0.0,0.0
Bi196,0.0,0.0,0.0
Bi196_m1,0.0,0.0,0.0
Bi196_m2,0.0,0.0,0.0
Bi197,0.0,0.0,0.0
Bi197_m1,0.0,0.0,0.0
Bi198,0.0,0.0,0.0
Bi198_m1,0.0,0.0,0.0
Bi198_m2,0.0,0.0,0.0
Bi199,0.0,0.0,0.0
Bi199_m1,0.0,0.0,0.0
Bi200,0.0,0.0,0.0
Bi200_m1,0.0,0.0,0.0
Bi200_m2,0.0,0.0,0.0
Bi201,0.0,0.0,0.0
Bi201_m1,0.0,0.0,0.0
Bi202,0.0,0.0,0.0
Bi203,0.0,0.0,0.0
Bi203_m1,0.0,0.0,0.0
Bi204,0.0,0.0,0.0
Bi204_m1,0.0,0.0,0.0
Bi204_m2,0.0,0.0,0.0
Bi205,0.0,0.0,0.0
Bi206,0.0,0.0,0.0
Bi207,0.0,0.0,0.0
Bi208,0.0,25.254562734778016,25.254562734778016
Bi208_m1,0.0,0.0,0.0
Bi209,0.0,37614.19859729178,37614.19859729178
Bi210,0.0,183.48424902991508,183.48424902991508
Bi210_m1,0.0,0.0,0.0
Bi211,0.0,1626.1132172080406,1626.1132172080406
Bi212,0.0,0.09362900246249636,0.09362900246249636
Bi212_m1,0.0,0.0,0.0
Bi212_m2,0.0,0.0,0.0
Bi213,0.0,11.452668930911882,11.452668930911882
Bi214,0.0,52.82795953742955,52.82795953742955
Bi215,0.0,0.005983201828496893,0.005983201828496893
Bi215_m1,0.0,1.1194943333526519e-13,1.1194943333526519e-13
Bi216,0.0,0.0,0.0
Bi217,0.0,0.0,0.0
Bi218,0.0,0.0,0.0
Bk235,0.0,0.0,0.0
Bk237,0.0,0.0,0.0
Bk238,0.0,0.0,0.0
Bk240,0.0,0.0,0.0
Bk241,0.0,1.870562634478458e-05,1.870562634478458e-05
Bk242,0.0,0.0,0.0
Bk243,0.0,0.0,0.0
Bk244,0.0,0.0,0.0
Bk245,0.0,2.499635135268235,2.499635135268235
Bk246,0.0,0.0,0.0
Bk247,0.0,0.0,0.0
Bk248,0.0,0.0,0.0
Bk248_m1,0.0,0.0,0.0
Bk249,0.0,0.0,0.0
Bk250,0.0,0.0,0.0
Bk251,0.0,0.0,0.0
Bk253,0.0,0.0,0.0
Bk254,0.0,0.0,0.0
Br67,0.0,0.0,0.0
Br68,0.0,0.0,0.0
Br69,0.0,0.0,0.0
Br70,0.0,0.0,0.0
Br70_m1,0.0,0.0,0.0
Br71,0.0,0.0,0.0
Br72,0.0,0.0,0.0
Br72_m1,0.0,0.0,0.0
Br73,0.0,0.0,0.0
Br74,0.0,0.0,0.0
Br74_m1,0.0,0.0,0.0
Br75,0.0,0.0,0.0
Br76,0.0,0.0,0.0
Br76_m1,0.0,0.0,0.0
Br77,0.0,0.0,0.0
Br77_m1,0.0,0.0,0.0
Br78,0.0,0.0,0.0
Br79,0.0,0.0,0.0
Br79_m1,0.0,0.0,0.0
Br80,0.0,0.0,0.0
Br80_m1,0.0,0.0,0.0
Br81,0.0,0.0,0.0
Br82,0.0,0.0,0.0
Br82_m1,0.0,0.0,0.0
Br83,0.0,0.0,0.0
Br84,0.0,0.0,0.0
Br84_m1,0.0,0.0,0.0
Br85,0.0,0.0,0.0
Br86,0.0,0.0,0.0
Br87,0.0,0.0,0.0
Br88,0.0,0.0,0.0
Br89,0.0,0.0,0.0
Br90,0.0,0.0,0.0
Br91,0.0,0.0,0.0
Br92,0.0,0.0,0.0
Br93,0.0,0.0,0.0
Br94,0.0,0.0,0.0
Br95,0.0,0.0,0.0
Br96,0.0,0.0,0.0
Br97,0.0,0.0,0.0
C10,0.0,0.0,0.0
C11,0.0,0.0,0.0
C12,0.0,0.0,0.0
C13,0.0,0.0,0.0
C14,0.0,0.0,0.0
C15,0.0,0.0,0.0
C16,0.0,0.0,0.0
C17,0.0,0.0,0.0
C18,0.0,0.0,0.0
C19,0.0,0.0,0.0
C20,0.0,0.0,0.0
C21,0.0,0.0,0.0
C22,0.0,0.0,0.0
C8,0.0,0.0,0.0
C9,0.0,0.0,0.0
Ca34,0.0,0.0,0.0
Ca35,0.0,0.0,0.0
Ca36,0.0,0.0,0.0
Ca37,0.0,0.0,0.0
Ca38,0.0,0.0,0.0
Ca39,0.0,0.0,0.0
Ca40,0.0,0.0,0.0
Ca41,0.0,0.0,0.0
Ca42,0.0,0.0,0.0
Ca43,0.0,0.0,0.0
Ca44,0.0,0.0,0.0
Ca45,0.0,0.0,0.0
Ca46,0.0,0.0,0.0
Ca47,0.0,0.0,0.0
Ca48,0.0,0.0,0.0
Ca49,0.0,0.0,0.0
Ca50,0.0,0.0,0.0
Ca51,0.0,0.0,0.0
Ca52,0.0,0.0,0.0
Ca53,0.0,0.0,0.0
Ca54,0.0,0.0,0.0
Ca55,0.0,0.0,0.0
Ca56,0.0,0.0,0.0
Ca57,0.0,0.0,0.0
Cd100,0.0,0.0,0.0
Cd101,0.0,0.0,0.0
Cd102,0.0,0.0,0.0
Cd103,0.0,0.0,0.0
Cd104,0.0,0.0,0.0
Cd105,0.0,0.0,0.0
Cd106,0.0,0.0,0.0
Cd107,0.0,0.0,0.0
Cd108,0.0,0.0,0.0
Cd109,0.0,0.0,0.0
Cd110,0.0,0.0,0.0
Cd111,0.0,0.0,0.0
Cd111_m1,0.0,0.0,0.0
Cd112,0.0,0.0,0.0
Cd113,0.0,0.0,0.0
Cd113_m1,0.0,0.0,0.0
Cd114,0.0,0.0,0.0
Cd115,0.0,0.0,0.0
Cd115_m1,0.0,0.0,0.0
Cd116,0.0,0.0,0.0
Cd117,0.0,0.0,0.0
Cd117_m1,0.0,0.0,0.0
Cd118,0.0,0.0,0.0
Cd119,0.0,0.0,0.0
Cd119_m1,0.0,0.0,0.0
Cd120,0.0,0.0,0.0
Cd121,0.0,0.0,0.0
Cd121_m1,0.0,0.0,0.0
Cd122,0.0,0.0,0.0
Cd123,0.0,0.0,0.0
Cd123_m1,0.0,0.0,0.0
Cd124,0.0,0.0,0.0
Cd125,0.0,0.0,0.0
Cd125_m1,0.0,0.0,0.0
Cd126,0.0,0.0,0.0
Cd127,0.0,0.0,0.0
Cd128,0.0,0.0,0.0
Cd129,0.0,0.0,0.0
Cd130,0.0,0.0,0.0
Cd131,0.0,0.0,0.0
Cd132,0.0,0.0,0.0
Cd95,0.0,0.0,0.0
Cd96,0.0,0.0,0.0
Cd97,0.0,0.0,0.0
Cd98,0.0,0.0,0.0
Cd99,0.0,0.0,0.0
Ce119,0.0,0.0,0.0
Ce120,0.0,0.0,0.0
Ce121,0.0,0.0,0.0
Ce122,0.0,0.0,0.0
Ce123,0.0,0.0,0.0
Ce124,0.0,0.0,0.0
Ce125,0.0,0.0,0.0
Ce126,0.0,0.0,0.0
Ce127,0.0,0.0,0.0
Ce127_m1,0.0,0.0,0.0
Ce128,0.0,0.0,0.0
Ce129,0.0,0.0,0.0
Ce130,0.0,0.0,0.0
