nuclide,atoms
Xe127,8.350543e+13
Nb105,8.184838e+13
Pm156,8.065170e+13
As82,7.903266e+13
Np235,7.791319e+13
Cs143,7.769552e+13
Ag117,7.400496e+13
C12,7.377880e+13
Se83_m1,7.324206e+13
Th234,7.021147e+13
Y97_m1,6.808936e+13
Ce150,6.767271e+13
In119,6.597486e+13
Xe141,6.583009e+13
Nb102_m1,6.486871e+13
Sb126_m1,6.447881e+13
Se87,6.318580e+13
Am245,6.223064e+13
Ge80,6.061355e+13
Nb100_m1,5.919224e+13
I139,5.591872e+13
Sn128_m1,5.546417e+13
Kr92,5.381938e+13
Ba146,5.227840e+13
Pu245,4.744224e+13
Cd120,4.675777e+13
Cd119_m1,4.662865e+13
As80,4.278160e+13
Y93_m1,4.148211e+13
Sr87_m1,3.972262e+13
Gd161,3.884134e+13
Ru98,3.879109e+13
Y90_m1,3.772919e+13
Y98,3.704611e+13
Tb162,3.680299e+13
Tb163,3.647587e+13
Gd162,3.547964e+13
Te137,3.449037e+13
Pr152,3.392719e+13
Pd115,3.319950e+13
Ho167,3.298073e+13
Zr103,3.163032e+13
Ag108_m1,3.017938e+13
Cd111_m1,2.880598e+13
Er164,2.854440e+13
Tb158,2.812913e+13
Br90,2.730017e+13
Nb104_m1,2.710742e+13
Pu236,2.615902e+13
Nd155,2.457246e+13
As82_m1,2.283132e+13
Dy159,2.267818e+13
Cs136_m1,2.240426e+13
Y100,2.165331e+13
Am240,2.050579e+13
Cu67,2.020924e+13
As84,2.006325e+13
Sr97,1.969663e+13
Ru111,1.968276e+13
Yb174,1.884546e+13
In116,1.883073e+13
La148,1.827135e+13
Xe142,1.787621e+13
Tm172,1.765267e+13
In121,1.707540e+13
Tb157,1.705390e+13
Pr153,1.690423e+13
Ge81,1.689004e+13
In123_m1,1.682127e+13
Cs144,1.662219e+13
Ge79_m1,1.656572e+13
Pm157,1.577131e+13
Tc109,1.572009e+13
Sr98,1.511431e+13
Pd116,1.454243e+13
Kr93,1.379873e+13
Ge79,1.375916e+13
Eu160,1.312887e+13
Sb135,1.224857e+13
Mo108,1.211520e+13
Sb134,1.168487e+13
Ce151,1.010500e+13
Rh112,9.503641e+12
Nb92,9.349041e+12
Ag114,9.200975e+12
Ge82,8.798922e+12
Zr104,8.730549e+12
Er172,8.646023e+12
Mo93,8.567672e+12
Rb95,8.557995e+12
Sr85,8.437448e+12
Rh113,8.356788e+12
Se88,7.836158e+12
Ga74,7.719729e+12
Rh101,7.392134e+12
Rb83,7.316499e+12
Sn133,7.227497e+12
Sm159,7.056540e+12
In125_m1,6.712253e+12
Cd121,6.567097e+12
Cu65,6.405952e+12
Dy165_m1,6.289120e+12
Ba147,6.250022e+12
Eu150,6.248146e+12
Zr89,5.914581e+12
Ru112,5.898219e+12
As85,5.835658e+12
Nd156,5.797507e+12
La149,5.741241e+12
I140,5.712123e+12
Nb106,5.587855e+12
Sm145,5.586874e+12
