r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
1.47836943e+02,1.47586943e+02,2.88687811e-04,3.64981883e-06,0.00000000e+00,0.00000000e+00,4.10307193e-05,1.92115607e-06,0.00000000e+00,0.00000000e+00,2.17859258e-01,2.23083646e-03,1.41848456e+03,1.74276390e+01,3.29718532e-04,4.40195443e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.47936968e+02,1.47686968e+02,2.86906116e-04,4.05922284e-06,0.00000000e+00,0.00000000e+00,4.21493511e-05,2.33955818e-06,0.00000000e+00,0.00000000e+00,2.16563014e-01,2.26440730e-03,1.40954917e+03,1.94227570e+01,3.29055469e-04,4.82246321e-06,0.00000000e+00,0.00000000e+00,4.29555000e+00,1.38571523e-02
1.48036993e+02,1.47786993e+02,2.82921411e-04,3.96798923e-06,0.00000000e+00,0.00000000e+00,4.27847545e-05,2.83217462e-06,0.00000000e+00,0.00000000e+00,2.13934962e-01,2.18419797e-03,1.38968898e+03,1.90099820e+01,3.25706168e-04,5.06900431e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.48137018e+02,1.47887018e+02,2.82062051e-04,3.72048726e-06,0.00000000e+00,0.00000000e+00,4.19980461e-05,2.49660693e-06,0.00000000e+00,0.00000000e+00,2.13581547e-01,2.21858742e-03,1.38553220e+03,1.78191104e+01,3.24060099e-04,4.40571752e-06,0.00000000e+00,0.00000000e+00,4.28778000e+00,1.40226623e-02
1.48237043e+02,1.47987043e+02,2.83307383e-04,3.98387926e-06,0.00000000e+00,0.00000000e+00,4.08666486e-05,2.45728251e-06,0.00000000e+00,0.00000000e+00,2.13836520e-01,2.28399210e-03,1.39146095e+03,1.91260734e+01,3.24174033e-04,4.50293471e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.48337068e+02,1.48087068e+02,2.79987391e-04,3.79535053e-06,0.00000000e+00,0.00000000e+00,3.77851381e-05,1.96938820e-06,0.00000000e+00,0.00000000e+00,2.11787264e-01,2.19771224e-03,1.37566672e+03,1.82112907e+01,3.17772531e-04,4.52127537e-06,0.00000000e+00,0.00000000e+00,4.28156000e+00,1.41956336e-02
1.48437093e+02,1.48187093e+02,2.80053559e-04,3.85632205e-06,0.00000000e+00,0.00000000e+00,4.06275491e-05,2.76201454e-06,0.00000000e+00,0.00000000e+00,2.11364598e-01,2.13848380e-03,1.37545387e+03,1.84390740e+01,3.20681110e-04,4.87470516e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.48537118e+02,1.48287118e+02,2.77456580e-04,3.81524273e-06,0.00000000e+00,0.00000000e+00,3.61916249e-05,1.55974167e-06,0.00000000e+00,0.00000000e+00,2.10854447e-01,2.20302292e-03,1.36328211e+03,1.82790289e+01,3.13648207e-04,4.32736095e-06,0.00000000e+00,0.00000000e+00,4.27606000e+00,1.42421183e-02
1.48637143e+02,1.48387143e+02,2.75794018e-04,3.86883922e-06,0.00000000e+00,0.00000000e+00,3.44977323e-05,1.49750680e-06,0.00000000e+00,0.00000000e+00,2.09659231e-01,2.29943628e-03,1.35518108e+03,1.85852463e+01,3.10291752e-04,4.50547947e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.48737168e+02,1.48487168e+02,2.76214673e-04,3.95217623e-06,0.00000000e+00,0.00000000e+00,3.86538468e-05,2.61277762e-06,0.00000000e+00,0.00000000e+00,2.09049607e-01,2.15992436e-03,1.35709523e+03,1.89507409e+01,3.14868521e-04,4.92890325e-06,0.00000000e+00,0.00000000e+00,4.26951000e+00,1.40344341e-02
1.48837193e+02,1.48587193e+02,2.74523971e-04,3.98428872e-06,0.00000000e+00,0.00000000e+00,3.89607626e-05,2.54670309e-06,0.00000000e+00,0.00000000e+00,2.07987900e-01,2.20540980e-03,1.34862536e+03,1.91589660e+01,3.13484736e-04,4.98280215e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.48937218e+02,1.48687218e+02,2.72329404e-04,3.68568013e-06,0.00000000e+00,0.00000000e+00,3.59013121e-05,1.89615061e-06,0.00000000e+00,0.00000000e+00,2.07423484e-01,2.15018087e-03,1.33856918e+03,1.77791198e+01,3.08230718e-04,4.30750170e-06,0.00000000e+00,0.00000000e+00,4.26257000e+00,1.42571067e-02
1.49037243e+02,1.48787243e+02,2.73734522e-04,4.18349278e-06,0.00000000e+00,0.00000000e+00,3.50793689e-05,1.56843509e-06,0.00000000e+00,0.00000000e+00,2.05996499e-01,2.24456468e-03,1.34485097e+03,2.00949076e+01,3.08813892e-04,4.70200085e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.49137268e+02,1.48887268e+02,2.70422387e-04,3.85547367e-06,0.00000000e+00,0.00000000e+00,3.34420980e-05,1.48521886e-06,0.00000000e+00,0.00000000e+00,2.05189826e-01,2.11514491e-03,1.32840233e+03,1.84714618e+01,3.03864487e-04,4.44035581e-06,0.00000000e+00,0.00000000e+00,4.25369000e+00,1.43447990e-02
1.49237293e+02,1.48987293e+02,2.71246573e-04,4.06227732e-06,0.00000000e+00,0.00000000e+00,3.44069572e-05,1.89269716e-06,0.00000000e+00,0.00000000e+00,2.04712911e-01,2.25695203e-03,1.33217585e+03,1.94906531e+01,3.05653532e-04,4.75050969e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.49337318e+02,1.49087318e+02,2.68894737e-04,3.67371076e-06,0.00000000e+00,0.00000000e+00,3.44661556e-05,1.98022172e-06,0.00000000e+00,0.00000000e+00,2.03761586e-01,2.16615240e-03,1.32125152e+03,1.76063484e+01,3.03360894e-04,4.37410451e-06,0.00000000e+00,0.00000000e+00,4.24397000e+00,1.45775972e-02
