z_cm,pb_n2n,nXt
6.75000000e+00,4.24915831e-03,2.40529501e-03
6.85000000e+00,4.18930492e-03,2.38434517e-03
6.95000000e+00,4.12100720e-03,2.35508191e-03
7.05000000e+00,4.06574871e-03,2.37244578e-03
7.15000000e+00,4.06795114e-03,2.36788856e-03
7.25000000e+00,3.99985220e-03,2.37189187e-03
7.35000000e+00,3.95893025e-03,2.37504343e-03
7.45000000e+00,3.90333834e-03,2.37818141e-03
7.55000000e+00,3.83797286e-03,2.37446350e-03
7.65000000e+00,3.77456112e-03,2.37804920e-03
7.75000000e+00,3.74031750e-03,2.38195926e-03
7.85000000e+00,3.71622511e-03,2.39850077e-03
7.95000000e+00,3.72333501e-03,2.38551755e-03
8.05000000e+00,3.74371513e-03,2.35820415e-03
8.15000000e+00,3.66329861e-03,2.35422515e-03
8.25000000e+00,3.63991285e-03,2.35890678e-03
8.35000000e+00,3.61464359e-03,2.38023755e-03
8.45000000e+00,3.59929448e-03,2.37416671e-03
8.55000000e+00,3.68454523e-03,2.39943049e-03
8.65000000e+00,3.56004840e-03,2.39121416e-03
8.75000000e+00,3.53330216e-03,2.39574995e-03
8.85000000e+00,3.45686518e-03,2.39767574e-03
8.95000000e+00,3.43838801e-03,2.38880150e-03
9.05000000e+00,3.40422691e-03,2.39262929e-03
9.15000000e+00,3.40315734e-03,2.37523075e-03
9.25000000e+00,3.38973484e-03,2.37329829e-03
9.35000000e+00,3.36426544e-03,2.36819967e-03
9.45000000e+00,3.31458210e-03,2.38653557e-03
9.55000000e+00,3.26767243e-03,2.37700839e-03
9.65000000e+00,3.21574544e-03,2.38026665e-03
9.75000000e+00,3.18128102e-03,2.37361637e-03
9.85000000e+00,3.16093621e-03,2.36327640e-03
9.95000000e+00,3.13658437e-03,2.36591054e-03
1.00500000e+01,3.17460717e-03,2.35135968e-03
1.01500000e+01,3.16708596e-03,2.32882334e-03
1.02500000e+01,3.15615579e-03,2.33360955e-03
1.03500000e+01,3.12617947e-03,2.33064256e-03
1.04500000e+01,3.11038320e-03,2.32990780e-03
1.05500000e+01,3.09474853e-03,2.31874615e-03
1.06500000e+01,3.07453925e-03,2.32654813e-03
1.07500000e+01,3.06672985e-03,2.32359745e-03
1.08500000e+01,3.01211687e-03,2.31683582e-03
1.09500000e+01,2.96638154e-03,2.32084585e-03
1.10500000e+01,2.97723415e-03,2.31167816e-03
1.11500000e+01,2.98039527e-03,2.32777131e-03
1.12500000e+01,2.97656263e-03,2.30490257e-03
1.13500000e+01,2.90729988e-03,2.30163071e-03
1.14500000e+01,2.87568123e-03,2.29829557e-03
1.15500000e+01,2.88083486e-03,2.28225569e-03
1.16500000e+01,2.86502242e-03,2.25692236e-03
1.17500000e+01,2.84357029e-03,2.25281268e-03
1.18500000e+01,2.82361273e-03,2.26439526e-03
1.19500000e+01,2.81753892e-03,2.27262695e-03
1.20500000e+01,2.76372776e-03,2.27514297e-03
1.21500000e+01,2.75066524e-03,2.26116439e-03
1.22500000e+01,2.74254898e-03,2.25036180e-03
1.23500000e+01,2.71534410e-03,2.25233669e-03
1.24500000e+01,2.70703008e-03,2.25757042e-03
1.25500000e+01,2.67198233e-03,2.27012775e-03
1.26500000e+01,2.66071721e-03,2.25609936e-03
1.27500000e+01,2.66379176e-03,2.24395009e-03
1.28500000e+01,2.62565013e-03,2.26046786e-03
1.29500000e+01,2.60603117e-03,2.25540562e-03
1.30500000e+01,2.58050956e-03,2.23551920e-03
1.31500000e+01,2.55580941e-03,2.23939504e-03
1.32500000e+01,2.56288961e-03,2.23975332e-03
1.33500000e+01,2.49742513e-03,2.25616336e-03
1.34500000e+01,2.47451583e-03,2.23942612e-03
1.35500000e+01,2.45623521e-03,2.24001990e-03
1.36500000e+01,2.43942038e-03,2.26462871e-03
1.37500000e+01,2.38891544e-03,2.28498953e-03
1.38500000e+01,2.43004974e-03,2.25674788e-03
1.39500000e+01,2.43294962e-03,2.27979024e-03
1.40500000e+01,2.35263608e-03,2.27526966e-03
1.41500000e+01,2.35087524e-03,2.25814895e-03
1.42500000e+01,2.42099322e-03,2.25170212e-03
1.43500000e+01,2.35006492e-03,2.24100691e-03
1.44500000e+01,2.29788281e-03,2.23558108e-03
1.45500000e+01,2.27585488e-03,2.24572157e-03
1.46500000e+01,2.26148275e-03,2.24776401e-03
1.47500000e+01,2.23480702e-03,2.20285110e-03
1.48500000e+01,2.23676891e-03,2.22244280e-03
1.49500000e+01,2.21337857e-03,2.22049906e-03
1.50500000e+01,2.18358043e-03,2.20524858e-03
1.51500000e+01,2.16160688e-03,2.19205146e-03
1.52500000e+01,2.14732453e-03,2.19091472e-03
1.53500000e+01,2.14078782e-03,2.18665355e-03
1.54500000e+01,2.20151008e-03,2.21755514e-03
1.55500000e+01,2.11849125e-03,2.22846011e-03
1.56500000e+01,2.13676693e-03,2.22873575e-03
1.57500000e+01,2.09051224e-03,2.23219244e-03
1.58500000e+01,2.04087728e-03,2.23043734e-03
1.59500000e+01,2.02373892e-03,2.20569383e-03
1.60500000e+01,1.99562914e-03,2.21098860e-03
1.61500000e+01,1.98005322e-03,2.23418073e-03
1.62500000e+01,1.97248427e-03,2.22752031e-03
1.63500000e+01,1.96791367e-03,2.21285790e-03
1.64500000e+01,1.95056074e-03,2.22354375e-03
1.65500000e+01,1.92678379e-03,2.23376092e-03
1.66500000e+01,1.92046518e-03,2.21476388e-03
1.67500000e+01,1.95310310e-03,2.22283934e-03
1.68500000e+01,1.90151317e-03,2.24214990e-03
1.69500000e+01,1.88739297e-03,2.23457504e-03
1.70500000e+01,1.87182608e-03,2.25588153e-03
1.71500000e+01,1.86189312e-03,2.25258088e-03
1.72500000e+01,1.83535967e-03,2.22666418e-03
1.73500000e+01,1.81854795e-03,2.26099048e-03
1.74500000e+01,1.79777450e-03,2.23302189e-03
1.75500000e+01,1.79285831e-03,2.22208409e-03
1.76500000e+01,1.78071364e-03,2.22059101e-03
1.77500000e+01,1.77205045e-03,2.23209733e-03
1.78500000e+01,1.76745650e-03,2.20751397e-03
1.79500000e+01,1.74625547e-03,2.20929072e-03
1.80500000e+01,1.73548976e-03,2.19366190e-03
1.81500000e+01,1.73105786e-03,2.19485135e-03
1.82500000e+01,1.72456097e-03,2.19291790e-03
1.83500000e+01,1.72155707e-03,2.19261776e-03
1.84500000e+01,1.70805854e-03,2.18248784e-03
1.85500000e+01,1.71186884e-03,2.17495225e-03
1.86500000e+01,1.68778900e-03,2.16994130e-03
1.87500000e+01,1.84242793e-03,2.19375125e-03
1.88500000e+01,1.64169593e-03,2.17288942e-03
1.89500000e+01,1.59772213e-03,2.15017312e-03
1.90500000e+01,1.57060076e-03,2.15851552e-03
1.91500000e+01,1.60437748e-03,2.15570621e-03
1.92500000e+01,1.56800755e-03,2.14346264e-03
1.93500000e+01,1.55247366e-03,2.12452373e-03
1.94500000e+01,1.58064823e-03,2.12609734e-03
1.95500000e+01,1.56630410e-03,2.11911123e-03
1.96500000e+01,1.50328817e-03,2.12119155e-03
1.97500000e+01,1.48277105e-03,2.12492069e-03
1.98500000e+01,1.47961601e-03,2.12692248e-03
1.99500000e+01,1.46180824e-03,2.13205169e-03
2.00500000e+01,1.47538635e-03,2.13123776e-03
2.01500000e+01,1.43881482e-03,2.10685620e-03
2.02500000e+01,1.42278815e-03,2.12680233e-03
2.03500000e+01,1.41396428e-03,2.12077377e-03
2.04500000e+01,1.40746207e-03,2.11895593e-03
2.05500000e+01,1.40556155e-03,2.13524954e-03
2.06500000e+01,1.45358666e-03,2.11737970e-03
2.07500000e+01,1.42139517e-03,2.12371228e-03
2.08500000e+01,1.38796789e-03,2.09998945e-03
2.09500000e+01,1.40757754e-03,2.09405697e-03
2.10500000e+01,1.44872903e-03,2.10258307e-03
2.11500000e+01,1.40009330e-03,2.09629896e-03
2.12500000e+01,1.38040702e-03,2.08782953e-03
2.13500000e+01,1.36400181e-03,2.10052163e-03
2.14500000e+01,1.34877824e-03,2.09843898e-03
2.15500000e+01,1.32468580e-03,2.09449147e-03
2.16500000e+01,1.31448058e-03,2.09237326e-03
2.17500000e+01,1.32720111e-03,2.08806036e-03
2.18500000e+01,1.31763964e-03,2.07743035e-03
2.19500000e+01,1.26476514e-03,2.09976173e-03
2.20500000e+01,1.25612046e-03,2.09981925e-03
2.21500000e+01,1.23217534e-03,2.07622644e-03
2.22500000e+01,1.22325672e-03,2.11762175e-03
2.23500000e+01,1.22392458e-03,2.11912501e-03
2.24500000e+01,1.23661884e-03,2.09917359e-03
2.25500000e+01,1.25948381e-03,2.09604507e-03
2.26500000e+01,1.22750829e-03,2.10138755e-03
2.27500000e+01,1.21928404e-03,2.09652195e-03
2.28500000e+01,1.21041448e-03,2.10054697e-03
2.29500000e+01,1.20176964e-03,2.09992050e-03
2.30500000e+01,1.21964354e-03,2.10503185e-03
2.31500000e+01,1.17907520e-03,2.05925405e-03
2.32500000e+01,1.16093048e-03,2.05315845e-03
2.33500000e+01,1.12845872e-03,2.02993707e-03
2.34500000e+01,1.12013648e-03,2.04109719e-03
2.35500000e+01,1.11834595e-03,2.02891267e-03
2.36500000e+01,1.10741648e-03,2.03790181e-03
2.37500000e+01,1.09663449e-03,2.04875112e-03
2.38500000e+01,1.10633220e-03,2.04638937e-03
2.39500000e+01,1.09776518e-03,2.04485719e-03
2.40500000e+01,1.09480577e-03,2.04796508e-03
2.41500000e+01,1.06510729e-03,2.06278974e-03
2.42500000e+01,1.05545008e-03,2.05798130e-03
2.43500000e+01,1.07626624e-03,2.03779597e-03
2.44500000e+01,1.07326630e-03,2.04860768e-03
2.45500000e+01,1.05035932e-03,2.04802032e-03
2.46500000e+01,1.04816279e-03,2.05654375e-03
2.47500000e+01,1.08892627e-03,2.02175895e-03
2.48500000e+01,1.05798496e-03,2.02854173e-03
2.49500000e+01,1.01477177e-03,2.02243826e-03
2.50500000e+01,9.81500912e-04,2.01841642e-03
2.51500000e+01,9.74597676e-04,2.00970749e-03
2.52500000e+01,1.00753487e-03,2.02077951e-03
2.53500000e+01,9.78677424e-04,2.01611082e-03
2.54500000e+01,9.89983836e-04,2.00565379e-03
2.55500000e+01,9.60573539e-04,2.01144441e-03
2.56500000e+01,1.02691141e-03,2.04116429e-03
2.57500000e+01,1.01910389e-03,2.01662550e-03
2.58500000e+01,9.86908489e-04,1.99622401e-03
2.59500000e+01,9.50118883e-04,2.02187225e-03
2.60500000e+01,9.28136267e-04,2.01184745e-03
2.61500000e+01,9.34991234e-04,2.03651576e-03
2.62500000e+01,9.43119099e-04,2.00067697e-03
2.63500000e+01,8.97435154e-04,1.99681702e-03
2.64500000e+01,8.77738300e-04,1.98723832e-03
2.65500000e+01,8.48065847e-04,1.99382893e-03
2.66500000e+01,8.34805690e-04,2.01014691e-03
2.67500000e+01,8.20846716e-04,2.00128864e-03
2.68500000e+01,8.09288326e-04,2.00296094e-03
2.69500000e+01,8.46795630e-04,2.00067543e-03
2.70500000e+01,7.96566625e-04,2.00148716e-03
2.71500000e+01,7.87025550e-04,1.98419355e-03
2.72500000e+01,7.78626852e-04,1.99639244e-03
2.73500000e+01,7.94668593e-04,1.99179699e-03
2.74500000e+01,7.89014530e-04,2.00830549e-03
2.75500000e+01,8.04142040e-04,1.99146448e-03
2.76500000e+01,7.60749452e-04,1.99992885e-03
2.77500000e+01,7.53045598e-04,1.95980591e-03
2.78500000e+01,7.50327057e-04,2.02171103e-03
2.79500000e+01,7.41451605e-04,2.01296503e-03
2.80500000e+01,7.35479122e-04,1.97364889e-03
2.81500000e+01,7.34915705e-04,1.95095849e-03
2.82500000e+01,7.24257516e-04,1.96939652e-03
2.83500000e+01,7.14396272e-04,1.97611722e-03
2.84500000e+01,7.02647051e-04,1.96402885e-03
2.85500000e+01,6.90108105e-04,1.96315561e-03
2.86500000e+01,6.85493273e-04,1.96618609e-03
2.87500000e+01,6.76899343e-04,1.96954639e-03
2.88500000e+01,6.67930991e-04,1.95053963e-03
2.89500000e+01,6.58655587e-04,1.92417864e-03
2.90500000e+01,6.51271967e-04,1.91327329e-03
2.91500000e+01,6.53965273e-04,1.90133972e-03
2.92500000e+01,6.63338633e-04,1.90874701e-03
2.93500000e+01,6.56634237e-04,1.91581459e-03
2.94500000e+01,6.55452576e-04,1.89212672e-03
2.95500000e+01,6.46087853e-04,1.91787211e-03
2.96500000e+01,6.42958583e-04,1.92263748e-03
2.97500000e+01,6.39850718e-04,1.90695024e-03
2.98500000e+01,6.35745672e-04,1.91616015e-03
2.99500000e+01,6.37654852e-04,1.92227485e-03
3.00500000e+01,6.34813808e-04,1.91410337e-03
3.01500000e+01,6.16188163e-04,1.89668895e-03
3.02500000e+01,6.19623892e-04,1.89288743e-03
3.03500000e+01,6.41811010e-04,1.89299850e-03
3.04500000e+01,6.43980824e-04,1.90195742e-03
3.05500000e+01,6.40486265e-04,1.90630389e-03
3.06500000e+01,6.49930449e-04,1.90320468e-03
3.07500000e+01,6.50298917e-04,1.91236594e-03
3.08500000e+01,6.28740414e-04,1.91123036e-03
3.09500000e+01,5.95979920e-04,1.89488581e-03
3.10500000e+01,5.90248854e-04,1.87229996e-03
3.11500000e+01,5.77148947e-04,1.87564951e-03
3.12500000e+01,5.71557177e-04,1.87159750e-03
3.13500000e+01,5.65630161e-04,1.88072470e-03
3.14500000e+01,5.61159901e-04,1.86774577e-03
3.15500000e+01,5.58900170e-04,1.86223519e-03
3.16500000e+01,5.55337077e-04,1.87352217e-03
3.17500000e+01,5.54828419e-04,1.86560759e-03
3.18500000e+01,5.54409947e-04,1.85914233e-03
3.19500000e+01,5.37575111e-04,1.85424084e-03
3.20500000e+01,5.27543141e-04,1.82005709e-03
3.21500000e+01,5.48361403e-04,1.83457548e-03
3.22500000e+01,5.44307228e-04,1.82200254e-03
3.23500000e+01,5.35964138e-04,1.81815037e-03
3.24500000e+01,5.32229265e-04,1.83138660e-03
3.25500000e+01,5.28896083e-04,1.82922694e-03
3.26500000e+01,5.26663056e-04,1.82924337e-03
3.27500000e+01,5.20203573e-04,1.82192286e-03
3.28500000e+01,5.27300223e-04,1.80589435e-03
3.29500000e+01,5.03144589e-04,1.79301483e-03
3.30500000e+01,4.99218844e-04,1.80805132e-03
3.31500000e+01,4.93429418e-04,1.80543404e-03
3.32500000e+01,4.79098894e-04,1.79795600e-03
3.33500000e+01,4.63523307e-04,1.79434189e-03
3.34500000e+01,4.42011869e-04,1.79677206e-03
3.35500000e+01,4.38651830e-04,1.79172602e-03
3.36500000e+01,4.46831631e-04,1.78539378e-03
3.37500000e+01,4.48890072e-04,1.79178816e-03
3.38500000e+01,4.45618615e-04,1.79915595e-03
3.39500000e+01,4.44697753e-04,1.80011069e-03
3.40500000e+01,4.46636971e-04,1.78022326e-03
3.41500000e+01,4.58652104e-04,1.78494837e-03
3.42500000e+01,4.57143961e-04,1.80594977e-03
3.43500000e+01,4.55462610e-04,1.79642504e-03
3.44500000e+01,4.49129729e-04,1.78006453e-03
3.45500000e+01,4.35964852e-04,1.77755769e-03
3.46500000e+01,4.28146332e-04,1.75532268e-03
3.47500000e+01,4.16287633e-04,1.74281495e-03
3.48500000e+01,4.04125877e-04,1.72785763e-03
3.49500000e+01,3.98228106e-04,1.73452967e-03
3.50500000e+01,3.95416225e-04,1.74491441e-03
3.51500000e+01,3.93982899e-04,1.75444674e-03
3.52500000e+01,3.96413847e-04,1.75159038e-03
3.53500000e+01,3.96242020e-04,1.78671518e-03
3.54500000e+01,3.94957968e-04,1.75349283e-03
3.55500000e+01,3.94408860e-04,1.75079966e-03
3.56500000e+01,3.92030783e-04,1.73020362e-03
3.57500000e+01,3.91163772e-04,1.74123523e-03
3.58500000e+01,3.85441034e-04,1.72915241e-03
3.59500000e+01,3.82369787e-04,1.73533375e-03
3.60500000e+01,3.80535537e-04,1.71878817e-03
3.61500000e+01,3.79859578e-04,1.71370868e-03
3.62500000e+01,3.73791333e-04,1.72431416e-03
3.63500000e+01,3.69272230e-04,1.71348177e-03
3.64500000e+01,3.59782217e-04,1.70374983e-03
3.65500000e+01,3.54407248e-04,1.69806488e-03
3.66500000e+01,3.48716614e-04,1.69798768e-03
3.67500000e+01,3.46287949e-04,1.69367077e-03
3.68500000e+01,3.44258964e-04,1.68192942e-03
3.69500000e+01,3.41423920e-04,1.70650947e-03
3.70500000e+01,3.37898702e-04,1.69718167e-03
3.71500000e+01,3.34479942e-04,1.71361992e-03
3.72500000e+01,3.25800394e-04,1.69672960e-03
3.73500000e+01,3.22991565e-04,1.69210881e-03
3.74500000e+01,3.30713820e-04,1.68188625e-03
3.75500000e+01,3.38665891e-04,1.69159393e-03
3.76500000e+01,3.32026146e-04,1.67481825e-03
3.77500000e+01,3.39462100e-04,1.67975465e-03
3.78500000e+01,3.31324453e-04,1.68107562e-03
3.79500000e+01,3.15032757e-04,1.67699862e-03
3.80500000e+01,3.06263413e-04,1.67697071e-03
3.81500000e+01,2.97813770e-04,1.67903362e-03
3.82500000e+01,2.96970053e-04,1.67910284e-03
3.83500000e+01,2.96120889e-04,1.68371346e-03
3.84500000e+01,2.97460955e-04,1.67686253e-03
3.85500000e+01,2.97535589e-04,1.68828028e-03
3.86500000e+01,2.81253908e-04,1.69106267e-03
3.87500000e+01,2.74336778e-04,1.68599467e-03
3.88500000e+01,2.73048394e-04,1.66894579e-03
3.89500000e+01,2.71559359e-04,1.67396640e-03
3.90500000e+01,2.68256225e-04,1.68317941e-03
3.91500000e+01,2.69033356e-04,1.68090091e-03
3.92500000e+01,2.70102108e-04,1.67859461e-03
3.93500000e+01,2.71512054e-04,1.65092364e-03
3.94500000e+01,2.74237337e-04,1.65722945e-03
3.95500000e+01,2.71486130e-04,1.67353930e-03
3.96500000e+01,2.69423784e-04,1.65785018e-03
3.97500000e+01,2.66068149e-04,1.65519587e-03
3.98500000e+01,2.60692572e-04,1.64611571e-03
3.99500000e+01,2.58575808e-04,1.62608380e-03
4.00500000e+01,2.55267032e-04,1.62252461e-03
4.01500000e+01,2.54099908e-04,1.62733020e-03
4.02500000e+01,2.51976507e-04,1.62061213e-03
4.03500000e+01,2.49789244e-04,1.62958023e-03
4.04500000e+01,2.48881586e-04,1.63262344e-03
4.05500000e+01,2.47329152e-04,1.63465763e-03
4.06500000e+01,2.43487784e-04,1.65181573e-03
4.07500000e+01,2.43768710e-04,1.63804094e-03
4.08500000e+01,2.44179569e-04,1.64088444e-03
4.09500000e+01,2.40694121e-04,1.64241690e-03
4.10500000e+01,2.36992645e-04,1.62886916e-03
4.11500000e+01,2.30349420e-04,1.63093223e-03
4.12500000e+01,2.29223213e-04,1.61076069e-03
4.13500000e+01,2.37500518e-04,1.60918689e-03
4.14500000e+01,2.39344208e-04,1.61729199e-03
4.15500000e+01,2.35036306e-04,1.61867281e-03
4.16500000e+01,2.22035886e-04,1.62016439e-03
4.17500000e+01,2.18659236e-04,1.63379630e-03
4.18500000e+01,2.33933250e-04,1.62384179e-03
4.19500000e+01,2.41414146e-04,1.60390043e-03
4.20500000e+01,2.31691924e-04,1.59071401e-03
4.21500000e+01,2.11936126e-04,1.60303907e-03
4.22500000e+01,2.14386135e-04,1.57493708e-03
4.23500000e+01,2.11783573e-04,1.57621894e-03
4.24500000e+01,2.07972746e-04,1.59782846e-03
4.25500000e+01,2.03591230e-04,1.57178636e-03
4.26500000e+01,1.91210448e-04,1.54977369e-03
4.27500000e+01,1.88228732e-04,1.55607665e-03
4.28500000e+01,1.88366464e-04,1.57616452e-03
4.29500000e+01,1.87900959e-04,1.56090941e-03
4.30500000e+01,1.90087971e-04,1.56093223e-03
4.31500000e+01,1.85692224e-04,1.54778944e-03
4.32500000e+01,1.71850005e-04,1.54640041e-03
4.33500000e+01,1.67387232e-04,1.53184167e-03
4.34500000e+01,1.67491333e-04,1.53344476e-03
4.35500000e+01,1.65465809e-04,1.55177062e-03
4.36500000e+01,1.63971043e-04,1.54390698e-03
4.37500000e+01,1.64123583e-04,1.55040565e-03
4.38500000e+01,1.62963289e-04,1.55120543e-03
4.39500000e+01,1.62453935e-04,1.52663373e-03
4.40500000e+01,1.58731304e-04,1.53703545e-03
4.41500000e+01,1.54815375e-04,1.52796494e-03
4.42500000e+01,1.54681747e-04,1.50914149e-03
4.43500000e+01,1.54681612e-04,1.50499344e-03
4.44500000e+01,1.54688626e-04,1.50497544e-03
4.45500000e+01,1.54498859e-04,1.47483935e-03
4.46500000e+01,1.53847559e-04,1.47385888e-03
4.47500000e+01,1.52408841e-04,1.45947671e-03
4.48500000e+01,1.49951824e-04,1.46718709e-03
4.49500000e+01,1.49951824e-04,1.46978558e-03
4.50500000e+01,1.48899897e-04,1.45290850e-03
4.51500000e+01,1.48411791e-04,1.43661928e-03
4.52500000e+01,1.46771434e-04,1.43625837e-03
4.53500000e+01,1.43768748e-04,1.43929416e-03
4.54500000e+01,1.44302467e-04,1.44845945e-03
4.55500000e+01,1.39246665e-04,1.46075450e-03
4.56500000e+01,1.38336850e-04,1.45216998e-03
4.57500000e+01,1.38201560e-04,1.43623555e-03
4.58500000e+01,1.40388503e-04,1.44142996e-03
4.59500000e+01,1.39741478e-04,1.44830680e-03
4.60500000e+01,1.38292957e-04,1.44601190e-03
4.61500000e+01,1.36478155e-04,1.45089584e-03
4.62500000e+01,1.36482332e-04,1.43568643e-03
4.63500000e+01,1.35584859e-04,1.43888943e-03
4.64500000e+01,1.36361769e-04,1.44373953e-03
4.65500000e+01,1.33575714e-04,1.43677587e-03
4.66500000e+01,1.32312698e-04,1.42493384e-03
4.67500000e+01,1.44839927e-04,1.43270892e-03
4.68500000e+01,1.42925332e-04,1.42791051e-03
4.69500000e+01,1.29538880e-04,1.42727183e-03
4.70500000e+01,1.29558304e-04,1.42009761e-03
4.71500000e+01,1.29612269e-04,1.41777923e-03
4.72500000e+01,1.28146192e-04,1.40937851e-03
4.73500000e+01,1.24579013e-04,1.39848266e-03
4.74500000e+01,1.22045195e-04,1.41035429e-03
4.75500000e+01,1.13134126e-04,1.39197354e-03
4.76500000e+01,1.13179849e-04,1.39628678e-03
4.77500000e+01,1.13067209e-04,1.40772895e-03
4.78500000e+01,1.09488028e-04,1.40718938e-03
4.79500000e+01,1.08179388e-04,1.39575077e-03
4.80500000e+01,1.07220649e-04,1.38578335e-03
4.81500000e+01,1.19455032e-04,1.40706805e-03
4.82500000e+01,1.22463800e-04,1.41263243e-03
4.83500000e+01,1.22417021e-04,1.38449846e-03
4.84500000e+01,1.13503891e-04,1.36487423e-03
4.85500000e+01,9.95250613e-05,1.36514205e-03
4.86500000e+01,9.91465125e-05,1.36496864e-03
4.87500000e+01,9.46388697e-05,1.37783928e-03
4.88500000e+01,9.32490559e-05,1.37520434e-03
4.89500000e+01,9.32490559e-05,1.37035840e-03
4.90500000e+01,9.22447306e-05,1.36172644e-03
4.91500000e+01,9.13764294e-05,1.33911284e-03
4.92500000e+01,9.07543880e-05,1.34765925e-03
4.93500000e+01,9.07150924e-05,1.34825751e-03
4.94500000e+01,8.95582721e-05,1.36651734e-03
4.95500000e+01,8.91960995e-05,1.35897781e-03
4.96500000e+01,8.82582712e-05,1.34040500e-03
4.97500000e+01,8.52654295e-05,1.34533111e-03
4.98500000e+01,8.27056176e-05,1.35553377e-03
4.99500000e+01,8.26456159e-05,1.33619052e-03
5.00500000e+01,8.20836006e-05,1.33819908e-03
5.01500000e+01,8.10734536e-05,1.33505129e-03
5.02500000e+01,7.86965419e-05,1.33203363e-03
5.03500000e+01,7.58509599e-05,1.32696057e-03
5.04500000e+01,7.60194139e-05,1.32996414e-03
5.05500000e+01,7.65937873e-05,1.32934291e-03
5.06500000e+01,7.65937873e-05,1.33740889e-03
5.07500000e+01,7.83185346e-05,1.31189524e-03
5.08500000e+01,8.12019444e-05,1.29352162e-03
5.09500000e+01,8.12019444e-05,1.29454013e-03
5.10500000e+01,8.10377304e-05,1.30466750e-03
5.11500000e+01,8.08393825e-05,1.30308952e-03
5.12500000e+01,7.95947125e-05,1.31093948e-03
5.13500000e+01,7.95141759e-05,1.32392187e-03
5.14500000e+01,8.09780273e-05,1.32070081e-03
5.15500000e+01,7.95764484e-05,1.29730367e-03
5.16500000e+01,7.83375745e-05,1.29466817e-03
