r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_local_mean,heating_local_std,fission_q_recoverable_mean,fission_q_recoverable_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
1.86646657e+02,1.86396657e+02,4.57061753e-05,1.52559221e-06,0.00000000e+00,0.00000000e+00,6.13233709e-06,8.71153468e-07,0.00000000e+00,0.00000000e+00,3.44752240e-02,7.97117407e-04,2.58932246e+02,9.31782861e+00,0.00000000e+00,0.00000000e+00,5.18385127e-05,1.75472608e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.86746683e+02,1.86496683e+02,4.62572510e-05,1.49744861e-06,0.00000000e+00,0.00000000e+00,5.44822832e-06,4.63645633e-07,0.00000000e+00,0.00000000e+00,3.45580741e-02,8.25646817e-04,2.56210360e+02,7.78789950e+00,0.00000000e+00,0.00000000e+00,5.17054797e-05,1.56647557e-06,0.00000000e+00,0.00000000e+00,1.82085000e+00,8.62066316e-03
1.86846708e+02,1.86596708e+02,4.59724081e-05,1.48711039e-06,0.00000000e+00,0.00000000e+00,5.44329297e-06,4.55770806e-07,0.00000000e+00,0.00000000e+00,3.44225400e-02,8.09412009e-04,2.54566984e+02,8.23194918e+00,0.00000000e+00,0.00000000e+00,5.14157013e-05,1.64380306e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.86946733e+02,1.86696733e+02,4.47701786e-05,1.42920365e-06,0.00000000e+00,0.00000000e+00,5.17235865e-06,4.46088348e-07,0.00000000e+00,0.00000000e+00,3.37757865e-02,7.79539420e-04,2.47902731e+02,7.98270205e+00,0.00000000e+00,0.00000000e+00,4.99425375e-05,1.59299824e-06,0.00000000e+00,0.00000000e+00,1.81685000e+00,8.76431441e-03
1.87046758e+02,1.86796758e+02,4.51730133e-05,1.49987764e-06,0.00000000e+00,0.00000000e+00,5.22713657e-06,4.76368197e-07,0.00000000e+00,0.00000000e+00,3.40145679e-02,7.78197134e-04,2.50887740e+02,8.55734121e+00,0.00000000e+00,0.00000000e+00,5.04001502e-05,1.69261398e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.87146783e+02,1.86896783e+02,4.47642510e-05,1.54673103e-06,0.00000000e+00,0.00000000e+00,4.89387723e-06,3.96121726e-07,0.00000000e+00,0.00000000e+00,3.34831297e-02,7.54966125e-04,2.46578154e+02,8.53446387e+00,0.00000000e+00,0.00000000e+00,4.96581286e-05,1.71086131e-06,0.00000000e+00,0.00000000e+00,1.81377000e+00,8.80513917e-03
1.87246808e+02,1.86996808e+02,4.43166761e-05,1.50157546e-06,0.00000000e+00,0.00000000e+00,4.88988741e-06,4.17607254e-07,0.00000000e+00,0.00000000e+00,3.32469270e-02,7.44226892e-04,2.44358285e+02,8.36145958e+00,0.00000000e+00,0.00000000e+00,4.92065638e-05,1.66694614e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.87346833e+02,1.87096833e+02,4.43638959e-05,1.43742535e-06,0.00000000e+00,0.00000000e+00,4.62425986e-06,3.82386939e-07,0.00000000e+00,0.00000000e+00,3.32378830e-02,7.54805996e-04,2.42947752e+02,7.94223935e+00,0.00000000e+00,0.00000000e+00,4.89881561e-05,1.57712719e-06,0.00000000e+00,0.00000000e+00,1.81015000e+00,8.72157866e-03
1.87446858e+02,1.87196858e+02,4.32521385e-05,1.42253584e-06,0.00000000e+00,0.00000000e+00,4.39282608e-06,3.87376506e-07,0.00000000e+00,0.00000000e+00,3.24064509e-02,7.21284353e-04,2.36152282e+02,7.93712749e+00,0.00000000e+00,0.00000000e+00,4.76449648e-05,1.58772758e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.87546883e+02,1.87296883e+02,4.23351382e-05,1.44350186e-06,0.00000000e+00,0.00000000e+00,4.21417666e-06,3.59117293e-07,0.00000000e+00,0.00000000e+00,3.21442124e-02,7.23274814e-04,2.30810679e+02,7.84916829e+00,0.00000000e+00,0.00000000e+00,4.65493152e-05,1.58663917e-06,0.00000000e+00,0.00000000e+00,1.80678000e+00,8.86909946e-03
1.87646908e+02,1.87396908e+02,4.22395692e-05,1.40140370e-06,0.00000000e+00,0.00000000e+00,3.79553970e-06,2.81842837e-07,0.00000000e+00,0.00000000e+00,3.18660144e-02,7.23038761e-04,2.27682956e+02,7.30776140e+00,0.00000000e+00,0.00000000e+00,4.60351092e-05,1.50194079e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.87746933e+02,1.87496933e+02,4.22085146e-05,1.41825120e-06,0.00000000e+00,0.00000000e+00,3.84569442e-06,2.97981366e-07,0.00000000e+00,0.00000000e+00,3.18230792e-02,7.64525751e-04,2.27846653e+02,7.47798591e+00,0.00000000e+00,0.00000000e+00,4.60542093e-05,1.52962624e-06,0.00000000e+00,0.00000000e+00,1.80293000e+00,8.80820617e-03
1.87846958e+02,1.87596958e+02,4.22357860e-05,1.47683994e-06,0.00000000e+00,0.00000000e+00,4.03510869e-06,3.58909975e-07,0.00000000e+00,0.00000000e+00,3.18220107e-02,7.99339840e-04,2.29357163e+02,7.93456532e+00,0.00000000e+00,0.00000000e+00,4.62708950e-05,1.60970919e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.87946983e+02,1.87696983e+02,4.27195107e-05,1.57975359e-06,0.00000000e+00,0.00000000e+00,4.43786798e-06,5.32977006e-07,0.00000000e+00,0.00000000e+00,3.14620743e-02,7.47822674e-04,2.34372374e+02,8.88034175e+00,0.00000000e+00,0.00000000e+00,4.71573789e-05,1.77811229e-06,0.00000000e+00,0.00000000e+00,1.80094000e+00,8.90578997e-03
1.88047008e+02,1.87797008e+02,4.15834803e-05,1.48982740e-06,0.00000000e+00,0.00000000e+00,4.94755014e-06,7.22416280e-07,0.00000000e+00,0.00000000e+00,3.12975691e-02,7.52599328e-04,2.31189966e+02,8.95605103e+00,0.00000000e+00,0.00000000e+00,4.65310308e-05,1.75765440e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.88147033e+02,1.87897033e+02,4.17232427e-05,1.59041915e-06,0.00000000e+00,0.00000000e+00,4.66975449e-06,6.21430310e-07,0.00000000e+00,0.00000000e+00,3.12792650e-02,7.91072212e-04,2.31314398e+02,9.39559178e+00,0.00000000e+00,0.00000000e+00,4.63929975e-05,1.84550378e-06,0.00000000e+00,0.00000000e+00,1.79926000e+00,8.85419059e-03
