z_cm,pb_n2n,nXt
4.53500000e+01,1.25461430e-04,1.46022880e-03
4.54500000e+01,1.23720769e-04,1.49182526e-03
4.55500000e+01,1.19931102e-04,1.49352843e-03
4.56500000e+01,1.18559936e-04,1.47799602e-03
4.57500000e+01,1.18100015e-04,1.47836715e-03
4.58500000e+01,1.15760289e-04,1.48904247e-03
4.59500000e+01,1.14419132e-04,1.46096858e-03
4.60500000e+01,1.12731207e-04,1.46986175e-03
4.61500000e+01,1.10589499e-04,1.44893683e-03
4.62500000e+01,1.09386446e-04,1.44513546e-03
4.63500000e+01,1.09386446e-04,1.46332401e-03
4.64500000e+01,1.07667683e-04,1.45827995e-03
4.65500000e+01,1.06302257e-04,1.43267618e-03
4.66500000e+01,1.04240247e-04,1.43902105e-03
4.67500000e+01,1.04233755e-04,1.45433261e-03
4.68500000e+01,1.04233601e-04,1.44237262e-03
4.69500000e+01,1.04233601e-04,1.41731444e-03
4.70500000e+01,1.03761710e-04,1.41918710e-03
4.71500000e+01,1.02636709e-04,1.40864324e-03
4.72500000e+01,1.01501483e-04,1.40700282e-03
4.73500000e+01,9.94795085e-05,1.42373423e-03
4.74500000e+01,9.84614996e-05,1.42189823e-03
4.75500000e+01,9.82743397e-05,1.39900695e-03
4.76500000e+01,9.82743397e-05,1.40566673e-03
4.77500000e+01,9.79373283e-05,1.40100944e-03
4.78500000e+01,9.61111529e-05,1.38487336e-03
4.79500000e+01,9.64348156e-05,1.39016132e-03
4.80500000e+01,9.57534437e-05,1.39865551e-03
4.81500000e+01,9.52821685e-05,1.39658552e-03
4.82500000e+01,9.53770946e-05,1.39251675e-03
4.83500000e+01,9.53770946e-05,1.37707197e-03
4.84500000e+01,9.50130505e-05,1.38567042e-03
4.85500000e+01,9.62955307e-05,1.35333905e-03
4.86500000e+01,9.63478619e-05,1.36151683e-03
4.87500000e+01,9.63496864e-05,1.36696868e-03
4.88500000e+01,9.56042810e-05,1.38021150e-03
4.89500000e+01,1.02837250e-04,1.38115263e-03
4.90500000e+01,1.02152741e-04,1.39337867e-03
4.91500000e+01,9.50457486e-05,1.35783487e-03
4.92500000e+01,9.09686556e-05,1.35337075e-03
4.93500000e+01,8.58885916e-05,1.36073531e-03
4.94500000e+01,9.86327986e-05,1.35398075e-03
4.95500000e+01,1.09766259e-04,1.34644955e-03
4.96500000e+01,1.09675658e-04,1.34742752e-03
4.97500000e+01,1.09352069e-04,1.34834900e-03
4.98500000e+01,1.07180618e-04,1.32226122e-03
4.99500000e+01,1.07254514e-04,1.32001797e-03
5.00500000e+01,1.07447865e-04,1.29232437e-03
5.01500000e+01,1.10632679e-04,1.29941294e-03
5.02500000e+01,9.89613972e-05,1.33169786e-03
5.03500000e+01,8.03831398e-05,1.33028575e-03
5.04500000e+01,8.05197601e-05,1.32522537e-03
5.05500000e+01,8.04974657e-05,1.31857719e-03
5.06500000e+01,8.17240536e-05,1.32072249e-03
5.07500000e+01,8.00342578e-05,1.28488952e-03
5.08500000e+01,7.91716733e-05,1.28375707e-03
5.09500000e+01,8.01071792e-05,1.29126489e-03
5.10500000e+01,7.84682164e-05,1.29105559e-03
5.11500000e+01,7.51628916e-05,1.29190040e-03
5.12500000e+01,9.69935712e-05,1.29140692e-03
5.13500000e+01,8.19251995e-05,1.28109575e-03
5.14500000e+01,7.96759482e-05,1.27126838e-03
